%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-08-12 14:00:00,2023-08-12,2023-08-12,14:00:00,12.08.2023 14:00,Fotbal Club Mladé Buky (1),TJ Baník Rtyně v Podkrk. (2),V,2 : 4 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,M.Buky,
2023-08-12 17:00:00,2023-08-12,2023-08-12,17:00:00,12.08.2023 17:00,TJ Rudník (16),FK Sokol Volanov (9),V,1 : 3 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Rudník,
2023-08-12 17:00:00,2023-08-12,2023-08-12,17:00:00,12.08.2023 17:00,TJ Tatran Hostinné (11),TJ Jiskra Bohuslavice nad Ú. (7),V,3 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Hostinné,
2023-08-12 17:00:00,2023-08-12,2023-08-12,17:00:00,12.08.2023 17:00,FK Poříčí u Trutnova (12),TJ Spartak Pilníkov (6),V,0 : 6 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Poříčí,
2023-08-12 17:00:00,2023-08-12,2023-08-12,17:00:00,12.08.2023 17:00,TJ Baník Žacléř A (13),TJ Jiskra Podhůří (5),V,6 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Žacléř,
2023-08-13 13:00:00,2023-08-13,2023-08-13,13:00:00,13.08.2023 13:00,SK Spartak Hajnice (15),FC Libotov (3),V,6 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Svoboda n.Ú.,
2023-08-13 15:00:00,2023-08-13,2023-08-13,15:00:00,13.08.2023 15:00,TJ Sokol Staré Buky (14),TJ SOKOL Bílá Třemešná (4),V,2 : 4 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,St.Buky,
2023-08-13 17:00:00,2023-08-13,2023-08-13,17:00:00,13.08.2023 17:00,TJ Strážné (10),Sokol Vítězná (8),V,3 : 2 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,D.Branná,
2023-08-19 14:00:00,2023-08-19,2023-08-19,14:00:00,19.08.2023 14:00,TJ SOKOL Bílá Třemešná (4),SK Spartak Hajnice (15),D,4 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,B.Třemešná,
2023-08-19 14:00:00,2023-08-19,2023-08-19,14:00:00,19.08.2023 14:00,TJ Spartak Pilníkov (6),TJ Baník Žacléř A (13),V,5 : 0 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Pilníkov,
2023-08-19 17:00:00,2023-08-19,2023-08-19,17:00:00,19.08.2023 17:00,TJ Baník Rtyně v Podkrk. (2),TJ Rudník (16),V,1 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Rtyně,
2023-08-19 17:00:00,2023-08-19,2023-08-19,17:00:00,19.08.2023 17:00,TJ Jiskra Podhůří (5),TJ Sokol Staré Buky (14),V,4 : 4 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Podhůří,
2023-08-19 17:00:00,2023-08-19,2023-08-19,17:00:00,19.08.2023 17:00,TJ Jiskra Bohuslavice nad Ú. (7),FK Poříčí u Trutnova (12),V,1 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Bohuslavice,
2023-08-19 17:00:00,2023-08-19,2023-08-19,17:00:00,19.08.2023 17:00,Sokol Vítězná (8),TJ Tatran Hostinné (11),V,4 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Vítězná,
2023-08-19 17:00:00,2023-08-19,2023-08-19,17:00:00,19.08.2023 17:00,FK Sokol Volanov (9),TJ Strážné (10),V,4 : 0 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Volanov,
2023-08-20 17:00:00,2023-08-20,2023-08-20,17:00:00,20.08.2023 17:00,FC Libotov (3),Fotbal Club Mladé Buky (1),V,5 : 3 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Libotov,
2023-08-26 14:00:00,2023-08-26,2023-08-26,14:00:00,26.08.2023 14:00,TJ Tatran Hostinné (11),FK Sokol Volanov (9),V,1 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Hostinné,
2023-08-26 14:00:00,2023-08-26,2023-08-26,14:00:00,26.08.2023 14:00,FK Poříčí u Trutnova (12),Sokol Vítězná (8),V,0 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Poříčí,
2023-08-26 17:00:00,2023-08-26,2023-08-26,17:00:00,26.08.2023 17:00,TJ Rudník (16),TJ Strážné (10),V,1 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Rudník,
2023-08-26 17:00:00,2023-08-26,2023-08-26,17:00:00,26.08.2023 17:00,TJ Baník Žacléř A (13),TJ Jiskra Bohuslavice nad Ú. (7),V,2 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Žacléř,
2023-08-26 17:00:00,2023-08-26,2023-08-26,17:00:00,26.08.2023 17:00,TJ Sokol Staré Buky (14),TJ Spartak Pilníkov (6),V,0 : 4 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,St.Buky,
2023-08-26 17:00:00,2023-08-26,2023-08-26,17:00:00,26.08.2023 17:00,Fotbal Club Mladé Buky (1),TJ SOKOL Bílá Třemešná (4),V,1 : 2 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,M.Buky,
2023-08-26 17:00:00,2023-08-26,2023-08-26,17:00:00,26.08.2023 17:00,TJ Baník Rtyně v Podkrk. (2),FC Libotov (3),V,2 : 0 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Rtyně,
2023-08-27 13:00:00,2023-08-27,2023-08-27,13:00:00,27.08.2023 13:00,SK Spartak Hajnice (15),TJ Jiskra Podhůří (5),V,5 : 0 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Hajnice,
2023-09-02 13:00:00,2023-09-02,2023-09-02,13:00:00,02.09.2023 13:00,TJ SOKOL Bílá Třemešná (4),TJ Baník Rtyně v Podkrk. (2),D,6 : 2 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,B.Třemešná,
2023-09-02 14:00:00,2023-09-02,2023-09-02,14:00:00,02.09.2023 14:00,TJ Jiskra Bohuslavice nad Ú. (7),TJ Sokol Staré Buky (14),V,1 : 4 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Bohuslavice,
2023-09-02 14:00:00,2023-09-02,2023-09-02,14:00:00,02.09.2023 14:00,FK Sokol Volanov (9),FK Poříčí u Trutnova (12),V,4 : 0 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Volanov,
2023-09-02 17:00:00,2023-09-02,2023-09-02,17:00:00,02.09.2023 17:00,TJ Jiskra Podhůří (5),Fotbal Club Mladé Buky (1),V,1 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Podhůří,
2023-09-02 17:00:00,2023-09-02,2023-09-02,17:00:00,02.09.2023 17:00,TJ Spartak Pilníkov (6),SK Spartak Hajnice (15),V,0 : 4 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Pilníkov,
2023-09-02 17:00:00,2023-09-02,2023-09-02,17:00:00,02.09.2023 17:00,Sokol Vítězná (8),TJ Baník Žacléř A (13),V,0 : 7 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Vítězná,
2023-09-03 17:00:00,2023-09-03,2023-09-03,17:00:00,03.09.2023 17:00,FC Libotov (3),TJ Rudník (16),V,1 : 5 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Libotov,
2023-09-03 17:00:00,2023-09-03,2023-09-03,17:00:00,03.09.2023 17:00,TJ Strážné (10),TJ Tatran Hostinné (11),V,4 : 4 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,D.Branná,
2023-09-09 14:00:00,2023-09-09,2023-09-09,14:00:00,09.09.2023 14:00,TJ Baník Rtyně v Podkrk. (2),TJ Jiskra Podhůří (5),V,1 : 0 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Rtyně,
2023-09-09 17:00:00,2023-09-09,2023-09-09,17:00:00,09.09.2023 17:00,TJ Rudník (16),TJ Tatran Hostinné (11),V,6 : 4 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Rudník,
2023-09-09 17:00:00,2023-09-09,2023-09-09,17:00:00,09.09.2023 17:00,FK Poříčí u Trutnova (12),TJ Strážné (10),V,5 : 2 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Poříčí,
2023-09-09 17:00:00,2023-09-09,2023-09-09,17:00:00,09.09.2023 17:00,TJ Baník Žacléř A (13),FK Sokol Volanov (9),V,2 : 2 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Žacléř,
2023-09-09 17:00:00,2023-09-09,2023-09-09,17:00:00,09.09.2023 17:00,TJ Sokol Staré Buky (14),Sokol Vítězná (8),V,5 : 3 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,St.Buky,
2023-09-09 17:00:00,2023-09-09,2023-09-09,17:00:00,09.09.2023 17:00,Fotbal Club Mladé Buky (1),TJ Spartak Pilníkov (6),V,3 : 2 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,M.Buky,
2023-09-10 13:00:00,2023-09-10,2023-09-10,13:00:00,10.09.2023 13:00,SK Spartak Hajnice (15),TJ Jiskra Bohuslavice nad Ú. (7),V,12 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Hajnice,
2023-09-10 15:30:00,2023-09-10,2023-09-10,15:30:00,10.09.2023 15:30,FC Libotov (3),TJ SOKOL Bílá Třemešná (4),V,1 : 3 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Libotov,
2023-09-13 17:00:00,2023-09-13,2023-09-13,17:00:00,13.09.2023 17:00,TJ Baník Rtyně v Podkrk. (2),SK Spartak Hajnice (15),V,3 : 5 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Rtyně,
2023-09-13 17:00:00,2023-09-13,2023-09-13,17:00:00,13.09.2023 17:00,FC Libotov (3),TJ Sokol Staré Buky (14),V,2 : 2 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Libotov,
2023-09-13 17:00:00,2023-09-13,2023-09-13,17:00:00,13.09.2023 17:00,TJ Spartak Pilníkov (6),TJ Tatran Hostinné (11),V,2 : 0 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Pilníkov,
